"bloque","pregunta","escala","sexo","prop"
1,1,1,"hombres",0
1,1,2,"hombres",0.0309278350515464
1,1,3,"hombres",0.247422680412371
1,1,4,"hombres",0.536082474226804
1,1,5,"hombres",0.185567010309278
1,1,1,"mujeres",0.0231788079470199
1,1,2,"mujeres",0.115894039735099
1,1,3,"mujeres",0.387417218543046
1,1,4,"mujeres",0.374172185430464
1,1,5,"mujeres",0.0993377483443709
1,2,1,"hombres",0.0103092783505155
1,2,2,"hombres",0.0515463917525773
1,2,3,"hombres",0.268041237113402
1,2,4,"hombres",0.484536082474227
1,2,5,"hombres",0.185567010309278
1,2,1,"mujeres",0.00662251655629139
1,2,2,"mujeres",0.102649006622517
1,2,3,"mujeres",0.311258278145695
1,2,4,"mujeres",0.456953642384106
1,2,5,"mujeres",0.122516556291391
1,3,1,"hombres",0.0309278350515464
1,3,2,"hombres",0.0721649484536082
1,3,3,"hombres",0.144329896907216
1,3,4,"hombres",0.412371134020619
1,3,5,"hombres",0.34020618556701
1,3,1,"mujeres",0.0364238410596026
1,3,2,"mujeres",0.115894039735099
1,3,3,"mujeres",0.271523178807947
1,3,4,"mujeres",0.410596026490066
1,3,5,"mujeres",0.165562913907285
1,4,1,"hombres",0
1,4,2,"hombres",0.0824742268041237
1,4,3,"hombres",0.22680412371134
1,4,4,"hombres",0.505154639175258
1,4,5,"hombres",0.185567010309278
1,4,1,"mujeres",0.00993377483443709
1,4,2,"mujeres",0.0629139072847682
1,4,3,"mujeres",0.288079470198675
1,4,4,"mujeres",0.473509933774834
1,4,5,"mujeres",0.165562913907285
2,5,1,"hombres",0
2,5,2,"hombres",0.0103092783505155
2,5,3,"hombres",0.11340206185567
2,5,4,"hombres",0.597938144329897
2,5,5,"hombres",0.278350515463918
2,5,1,"mujeres",0.0033112582781457
2,5,2,"mujeres",0.0231788079470199
2,5,3,"mujeres",0.182119205298013
2,5,4,"mujeres",0.516556291390728
2,5,5,"mujeres",0.274834437086093
2,6,1,"hombres",0.0103092783505155
2,6,2,"hombres",0.0206185567010309
2,6,3,"hombres",0.154639175257732
2,6,4,"hombres",0.536082474226804
2,6,5,"hombres",0.278350515463918
2,6,1,"mujeres",0.00662251655629139
2,6,2,"mujeres",0.0165562913907285
2,6,3,"mujeres",0.188741721854305
2,6,4,"mujeres",0.516556291390728
2,6,5,"mujeres",0.271523178807947
2,7,1,"hombres",0.0103092783505155
2,7,2,"hombres",0
2,7,3,"hombres",0.257731958762887
2,7,4,"hombres",0.494845360824742
2,7,5,"hombres",0.237113402061856
2,7,1,"mujeres",0.0033112582781457
2,7,2,"mujeres",0.0364238410596026
2,7,3,"mujeres",0.245033112582781
2,7,4,"mujeres",0.516556291390728
2,7,5,"mujeres",0.198675496688742
2,8,1,"hombres",0.0103092783505155
2,8,2,"hombres",0.0103092783505155
2,8,3,"hombres",0.247422680412371
2,8,4,"hombres",0.525773195876289
2,8,5,"hombres",0.206185567010309
2,8,1,"mujeres",0.0033112582781457
2,8,2,"mujeres",0.0231788079470199
2,8,3,"mujeres",0.28476821192053
2,8,4,"mujeres",0.47682119205298
2,8,5,"mujeres",0.211920529801325
3,9,1,"hombres",0.0206185567010309
3,9,2,"hombres",0.11340206185567
3,9,3,"hombres",0.309278350515464
3,9,4,"hombres",0.45360824742268
3,9,5,"hombres",0.103092783505155
3,9,1,"mujeres",0.033112582781457
3,9,2,"mujeres",0.105960264900662
3,9,3,"mujeres",0.337748344370861
3,9,4,"mujeres",0.417218543046358
3,9,5,"mujeres",0.105960264900662
3,10,1,"hombres",0.0309278350515464
3,10,2,"hombres",0.206185567010309
3,10,3,"hombres",0.391752577319588
3,10,4,"hombres",0.319587628865979
3,10,5,"hombres",0.0515463917525773
3,10,1,"mujeres",0.0562913907284768
3,10,2,"mujeres",0.251655629139073
3,10,3,"mujeres",0.370860927152318
3,10,4,"mujeres",0.264900662251656
3,10,5,"mujeres",0.0562913907284768
3,11,1,"hombres",0.0515463917525773
3,11,2,"hombres",0.11340206185567
3,11,3,"hombres",0.329896907216495
3,11,4,"hombres",0.43298969072165
3,11,5,"hombres",0.0721649484536082
3,11,1,"mujeres",0.0463576158940397
3,11,2,"mujeres",0.245033112582781
3,11,3,"mujeres",0.301324503311258
3,11,4,"mujeres",0.324503311258278
3,11,5,"mujeres",0.0827814569536424
4,12,1,"hombres",0.0206185567010309
4,12,2,"hombres",0.0412371134020619
4,12,3,"hombres",0.268041237113402
4,12,4,"hombres",0.505154639175258
4,12,5,"hombres",0.164948453608247
4,12,1,"mujeres",0.0165562913907285
4,12,2,"mujeres",0.0794701986754967
4,12,3,"mujeres",0.321192052980132
4,12,4,"mujeres",0.45364238410596
4,12,5,"mujeres",0.129139072847682
4,13,1,"hombres",0.0206185567010309
4,13,2,"hombres",0.0206185567010309
4,13,3,"hombres",0.216494845360825
4,13,4,"hombres",0.556701030927835
4,13,5,"hombres",0.185567010309278
4,13,1,"mujeres",0.0132450331125828
4,13,2,"mujeres",0.076158940397351
4,13,3,"mujeres",0.205298013245033
4,13,4,"mujeres",0.549668874172185
4,13,5,"mujeres",0.155629139072848
4,14,1,"hombres",0.0206185567010309
4,14,2,"hombres",0.0721649484536082
4,14,3,"hombres",0.268041237113402
4,14,4,"hombres",0.422680412371134
4,14,5,"hombres",0.216494845360825
4,14,1,"mujeres",0.0264900662251656
4,14,2,"mujeres",0.0596026490066225
4,14,3,"mujeres",0.235099337748344
4,14,4,"mujeres",0.437086092715232
4,14,5,"mujeres",0.241721854304636
4,15,1,"hombres",0.0103092783505155
4,15,2,"hombres",0.0309278350515464
4,15,3,"hombres",0.247422680412371
4,15,4,"hombres",0.474226804123711
4,15,5,"hombres",0.237113402061856
4,15,1,"mujeres",0.0132450331125828
4,15,2,"mujeres",0.0496688741721854
4,15,3,"mujeres",0.258278145695364
4,15,4,"mujeres",0.470198675496689
4,15,5,"mujeres",0.208609271523179
4,16,1,"hombres",0.0103092783505155
4,16,2,"hombres",0.0206185567010309
4,16,3,"hombres",0.216494845360825
4,16,4,"hombres",0.587628865979381
4,16,5,"hombres",0.164948453608247
4,16,1,"mujeres",0.00993377483443709
4,16,2,"mujeres",0.0496688741721854
4,16,3,"mujeres",0.231788079470199
4,16,4,"mujeres",0.56953642384106
4,16,5,"mujeres",0.139072847682119
4,17,1,"hombres",0.0309278350515464
4,17,2,"hombres",0.0412371134020619
4,17,3,"hombres",0.237113402061856
4,17,4,"hombres",0.577319587628866
4,17,5,"hombres",0.11340206185567
4,17,1,"mujeres",0.0132450331125828
4,17,2,"mujeres",0.0496688741721854
4,17,3,"mujeres",0.235099337748344
4,17,4,"mujeres",0.536423841059603
4,17,5,"mujeres",0.165562913907285
4,18,1,"hombres",0.0309278350515464
4,18,2,"hombres",0.0618556701030928
4,18,3,"hombres",0.195876288659794
4,18,4,"hombres",0.56701030927835
4,18,5,"hombres",0.144329896907216
4,18,1,"mujeres",0.0132450331125828
4,18,2,"mujeres",0.0629139072847682
4,18,3,"mujeres",0.321192052980132
4,18,4,"mujeres",0.493377483443709
4,18,5,"mujeres",0.109271523178808
4,19,1,"hombres",0.0206185567010309
4,19,2,"hombres",0.0309278350515464
4,19,3,"hombres",0.257731958762887
4,19,4,"hombres",0.443298969072165
4,19,5,"hombres",0.247422680412371
4,19,1,"mujeres",0.0298013245033113
4,19,2,"mujeres",0.102649006622517
4,19,3,"mujeres",0.321192052980132
4,19,4,"mujeres",0.410596026490066
4,19,5,"mujeres",0.135761589403974
4,20,1,"hombres",0.0103092783505155
4,20,2,"hombres",0.0412371134020619
4,20,3,"hombres",0.0721649484536082
4,20,4,"hombres",0.422680412371134
4,20,5,"hombres",0.45360824742268
4,20,1,"mujeres",0.00662251655629139
4,20,2,"mujeres",0.0397350993377483
4,20,3,"mujeres",0.185430463576159
4,20,4,"mujeres",0.403973509933775
4,20,5,"mujeres",0.364238410596026
5,21,1,"hombres",0.0206185567010309
5,21,2,"hombres",0.0206185567010309
5,21,3,"hombres",0.185567010309278
5,21,4,"hombres",0.639175257731959
5,21,5,"hombres",0.134020618556701
5,21,1,"mujeres",0.00662251655629139
5,21,2,"mujeres",0.0629139072847682
5,21,3,"mujeres",0.274834437086093
5,21,4,"mujeres",0.480132450331126
5,21,5,"mujeres",0.175496688741722
5,22,1,"hombres",0.0309278350515464
5,22,2,"hombres",0.0824742268041237
5,22,3,"hombres",0.288659793814433
5,22,4,"hombres",0.443298969072165
5,22,5,"hombres",0.154639175257732
5,22,1,"mujeres",0.033112582781457
5,22,2,"mujeres",0.129139072847682
5,22,3,"mujeres",0.387417218543046
5,22,4,"mujeres",0.324503311258278
5,22,5,"mujeres",0.125827814569536
